status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
x < 0 DM,39,critical account/ other credits existing (not at this bank),furniture/equipment,14179,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,30,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,13,critical account/ other credits existing (not at this bank),business,1797,x <  100 DM, x < 1 year,3,male:single,none,1,if not A121:building society savings agreement/life insurance,28,bank,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,15,existing credits paid back duly till now,car (new),2511,x <  100 DM,unemployed,1,female:divorced/separated/married,none,4,car or other,23,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,car (new),1274,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,1,real estate,37,none,own,1,unskilled-resident,1,none,yes,2
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1  <= x < 4 years,1,male:single,none,3,car or other,26,none,own,1,skilled employee/official,1,none,yes,1
no checking account,15,existing credits paid back duly till now,car (used),3029,x <  100 DM,4  <= x < 7 years,2,male:single,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,x <  100 DM,x >= 7 years,2,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,49,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,existing credits paid back duly till now,car (new),976,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,2,car or other,23,none,own,1,unskilled-resident,1,none,yes,2
0 <= x < 200 DM,12,existing credits paid back duly till now,business,841,100 <= x <  500 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes,1
no checking account,12,delay in paying off in the past,repairs,1555,x >= 1000 DM,x >= 7 years,4,male:single,none,4,unknown/no property,55,none,for free,2,skilled employee/official,2,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4  <= x < 7 years,4,female:divorced/separated/married,none,4,unknown/no property,32,none,rent,1,skilled employee/official,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1299,x <  100 DM,1  <= x < 4 years,1,male:single,none,1,real estate,74,none,own,3,unemployed/unskilled-non-resident,2,none,no,1
x >= 200 DM_salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1  <= x < 4 years,3,male:single,none,4,unknown/no property,39,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,24,existing credits paid back duly till now,car (new),1393,x <  100 DM,1  <= x < 4 years,2,male:single,guarantor,2,real estate,31,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,x <  100 DM,x >= 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,2
no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,x >= 7 years,1,female:divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee/official,1,none,yes,2
x < 0 DM,12,existing credits paid back duly till now,radio/television,2214,x <  100 DM,1  <= x < 4 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,24,none,own,1,unskilled-resident,1,none,yes,1
no checking account,21,critical account/ other credits existing (not at this bank),car (new),12680,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,30,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2463,100 <= x <  500 DM,4  <= x < 7 years,4,male:married/widowed,none,3,if not A121:building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1155,x <  100 DM,x >= 7 years,3,male:married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,x <  100 DM, x < 1 year,2,male:divorced/separated,none,4,if not A121:building society savings agreement/life insurance,31,none,own,1,unskilled-resident,1,none,yes,2
no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account, x < 1 year,1,female:divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,x <  100 DM,x >= 7 years,1,male:single,none,4,car or other,28,none,rent,3,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,x <  100 DM,x >= 7 years,2,male:single,none,4,real estate,63,none,own,2,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,x >= 7 years,2,female:divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,x <  100 DM,x >= 7 years,1,male:single,none,4,car or other,36,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= x <  500 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,52,bank,own,2,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= x < 1000 DM,unemployed,2,male:single,none,4,unknown/no property,66,bank,for free,3,unemployed/unskilled-non-resident,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee/official,1,none,yes,2
no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,car or other,37,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,existing credits paid back duly till now,radio/television,3509,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee/official,1,none,yes,1
no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,x >= 1000 DM,x >= 7 years,4,male:single,none,2,car or other,38,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,repairs,3872,x <  100 DM,unemployed,2,female:divorced/separated/married,none,4,car or other,67,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,x <  100 DM,4  <= x < 7 years,2,male:single,guarantor,2,real estate,25,none,own,2,skilled employee/official,1,none,yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,x >= 1000 DM,x >= 7 years,4,male:single,none,4,real estate,60,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,no credits taken/ all credits paid back duly,retraining,1410,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,31,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= x <  500 DM, x < 1 year,4,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,23,bank,own,1,unskilled-resident,1,none,yes,2
0 <= x < 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/ no savings account,unemployed,1,male:divorced/separated,none,4,real estate,60,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,business,1941,x >= 1000 DM,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,35,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= x < 1000 DM,x >= 7 years,3,male:single,none,4,car or other,40,none,own,1,skilled employee/official,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),car (used),2751,unknown/ no savings account,x >= 7 years,4,male:single,none,3,car or other,38,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,delay in paying off in the past,education,6224,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,2
x < 0 DM,40,critical account/ other credits existing (not at this bank),education,5998,x <  100 DM,1  <= x < 4 years,4,male:single,none,3,unknown/no property,27,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,21,existing credits paid back duly till now,business,1188,x <  100 DM,x >= 7 years,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,none,yes,2
no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,x >= 7 years,3,male:single,none,4,car or other,41,none,own,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1  <= x < 4 years,1,male:married/widowed,none,2,if not A121:building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,2892,x <  100 DM,x >= 7 years,3,male:divorced/separated,none,4,unknown/no property,51,none,for free,1,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= x <  500 DM, x < 1 year,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/ no savings account,x >= 7 years,1,male:single,none,4,if not A121:building society savings agreement/life insurance,51,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,2
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,22,none,rent,2,unskilled-resident,1,none,yes,1
no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,x >= 7 years,4,male:married/widowed,none,4,car or other,54,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account, x < 1 year,4,male:single,none,2,real estate,35,none,own,1,unemployed/unskilled-non-resident,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),education,1597,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,54,none,for free,2,skilled employee/official,2,none,yes,1
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1795,x <  100 DM,x >= 7 years,3,female:divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,x <  100 DM,x >= 7 years,1,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,24,none,own,2,skilled employee/official,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,x >= 7 years,4,male:single,none,4,car or other,35,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/unskilled-non-resident,1,none,yes,1
x < 0 DM,36,existing credits paid back duly till now,car (new),9271,x <  100 DM,4  <= x < 7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,6,existing credits paid back duly till now,radio/television,590,x <  100 DM, x < 1 year,3,male:married/widowed,none,3,real estate,26,none,own,1,unskilled-resident,1,none,no,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,x >= 7 years,4,male:single,none,4,real estate,65,none,own,4,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,42,all credits at this bank paid back duly,car (used),9283,x <  100 DM,unemployed,1,male:single,none,2,unknown/no property,55,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/unskilled-non-resident,1,none,yes,2
0 <= x < 200 DM,8,existing credits paid back duly till now,business,907,x <  100 DM, x < 1 year,3,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,6,existing credits paid back duly till now,radio/television,484,x <  100 DM,4  <= x < 7 years,3,male:married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled-resident,1,none,yes,1
x < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,car or other,24,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,x <  100 DM,1  <= x < 4 years,3,male:single,none,4,car or other,54,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,48,existing credits paid back duly till now,car (new),3931,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,2,none,yes,2
0 <= x < 200 DM,36,delay in paying off in the past,car (new),7432,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,54,none,rent,1,skilled employee/official,1,none,yes,1
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= x < 1000 DM,1  <= x < 4 years,1,male:divorced/separated,none,4,real estate,62,none,own,1,skilled employee/official,1,none,yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,x <  100 DM,4  <= x < 7 years,1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,36,existing credits paid back duly till now,others,15857,x <  100 DM,unemployed,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,radio/television,1345,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,3,real estate,26,bank,own,1,skilled employee/official,1,none,yes,2
no checking account,12,existing credits paid back duly till now,car (new),1101,x <  100 DM,1  <= x < 4 years,3,male:married/widowed,none,2,real estate,27,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,x <  100 DM,1  <= x < 4 years,3,male:married/widowed,none,1,car or other,24,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,x <  100 DM,x >= 7 years,2,male:single,none,2,if not A121:building society savings agreement/life insurance,41,bank,own,1,skilled employee/official,2,none,yes,2
x < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,47,none,own,2,unskilled-resident,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,x <  100 DM, x < 1 year,3,male:divorced/separated,none,2,car or other,35,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,x <  100 DM,x >= 7 years,4,male:married/widowed,none,3,car or other,30,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,x <  100 DM,x >= 7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,18,no credits taken/ all credits paid back duly,business,4165,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,36,stores,own,2,skilled employee/official,2,none,yes,2
x < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,x >= 7 years,3,male:single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,unknown/no property,38,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,24,delay in paying off in the past,business,2375,500 <= x < 1000 DM,1  <= x < 4 years,4,male:single,none,2,car or other,44,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
x < 0 DM,18,existing credits paid back duly till now,car (new),1216,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,x <  100 DM,x >= 7 years,2,male:single,none,4,car or other,29,none,rent,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,x >= 7 years,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,unskilled-resident,1,none,yes,2
x < 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,car or other,48,bank,own,2,skilled employee/official,1,none,yes,2
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee/official,1,none,yes,1
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled-resident,2,none,yes,1
x < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,x <  100 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,63,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,x <  100 DM,x >= 7 years,4,male:married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,x <  100 DM,4  <= x < 7 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,none,yes,2
no checking account,21,delay in paying off in the past,car (used),2993,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,real estate,28,stores,own,2,unskilled-resident,1,none,yes,1
no checking account,18,existing credits paid back duly till now,repairs,1943,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/official,1,none,yes,2
no checking account,24,all credits at this bank paid back duly,business,1559,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,car or other,50,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,x <  100 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4  <= x < 7 years,2,male:single,none,3,car or other,35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,4,car or other,68,none,rent,2,skilled employee/official,1,none,yes,2
no checking account,24,existing credits paid back duly till now,car (new),1249,x <  100 DM, x < 1 year,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,9,existing credits paid back duly till now,radio/television,1364,x <  100 DM,4  <= x < 7 years,3,male:single,none,4,real estate,59,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,radio/television,709,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,57,stores,own,1,unskilled-resident,1,none,yes,2
x < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,guarantor,2,if not A121:building society savings agreement/life insurance,33,bank,rent,2,skilled employee/official,1,none,no,2
no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4  <= x < 7 years,3,male:single,none,4,if not A121:building society savings agreement/life insurance,43,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,unknown/no property,35,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,all credits at this bank paid back duly,car (new),1442,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,unknown/no property,32,none,for free,2,unskilled-resident,2,none,yes,2
no checking account,36,delay in paying off in the past,car (new),10875,x <  100 DM,x >= 7 years,2,male:single,none,2,car or other,45,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= x <  500 DM, x < 1 year,4,male:married/widowed,none,3,real estate,33,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4  <= x < 7 years,4,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,40,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,unknown/no property,28,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,15,existing credits paid back duly till now,car (new),3959,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= x <  500 DM,1  <= x < 4 years,1,male:single,guarantor,2,real estate,26,none,rent,1,skilled employee/official,2,none,no,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,x >= 1000 DM,1  <= x < 4 years,4,male:single,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,1
no checking account,18,delay in paying off in the past,business,2169,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,2,car or other,28,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,existing credits paid back duly till now,radio/television,2439,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,x >= 1000 DM, x < 1 year,4,male:single,none,2,real estate,32,stores,own,2,unskilled-resident,2,"yes, registered under the customers name",yes,1
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,25,bank,rent,1,unskilled-resident,1,none,yes,2
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= x < 1000 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,radio/television,2389,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee/official,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,x <  100 DM,x >= 7 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,42,stores,own,1,skilled employee/official,1,none,yes,1
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,x >= 7 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,1
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= x < 1000 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,x <  100 DM,x >= 7 years,1,male:single,none,4,real estate,46,none,own,2,skilled employee/official,2,none,no,1
x < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= x <  500 DM,4  <= x < 7 years,4,male:single,none,1,real estate,26,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account, x < 1 year,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,x <  100 DM,1  <= x < 4 years,2,male:single,co-applicant,2,if not A121:building society savings agreement/life insurance,29,none,own,1,unskilled-resident,2,none,yes,1
0 <= x < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,x >= 1000 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,x <  100 DM, x < 1 year,3,male:single,co-applicant,4,unknown/no property,36,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,36,existing credits paid back duly till now,radio/television,3595,x <  100 DM,x >= 7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,9,existing credits paid back duly till now,car (new),1422,x <  100 DM, x < 1 year,3,male:single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4  <= x < 7 years,2,male:single,none,3,if not A121:building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,car (used),7814,x <  100 DM,4  <= x < 7 years,3,male:single,none,3,car or other,38,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
